file,status,rows_parsed,rows_loaded,error_limit,errors_seen,first_error,first_error_line,first_error_character,first_error_column_name
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_203636_part_00016.json,LOADED,135,135,135,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/load_date=2026-06-14/close_crm_users_raw_20260614_200430_part_00001.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/load_date=2026-06-14/close_crm_users_raw_20260614_200452_part_00010.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=incremental/load_date=2026-06-22/close_crm_users_raw_20260622_161819_part_00001.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_201658_part_00001.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_201721_part_00013.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_203617_part_00006.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_203630_part_00013.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/load_date=2026-06-14/close_crm_users_raw_20260614_200440_part_00005.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/load_date=2026-06-14/close_crm_users_raw_20260614_200456_part_00012.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=incremental/load_date=2026-06-22/close_crm_users_raw_20260622_161822_part_00002.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_201700_part_00002.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_201713_part_00009.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_203609_part_00002.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/close_crm_users_raw_20260707_203627_part_00011.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/load_date=2026-06-14/close_crm_users_raw_20260614_200435_part_00003.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=full/load_date=2026-06-14/close_crm_users_raw_20260614_200454_part_00011.json,LOADED,1000,1000,1000,0,,,,
s3://sales-analytics-raw-aqib-test/close_crm_users_raw/load_type=incremental/load_date=2026-06-25/close_crm_users_raw_20260625_161347_part_00001.json,LOADED,1000,1000,1000,0,,,,
