STRATEGY_CALL_OUTCOME,STRATEGY_ATTENDANCE_CLASS,TOTAL_ROWS
,MISSING_OUTCOME,7
4. No Show,NOT_TAKEN,1314
3. Cancel- Not Interested,NOT_TAKEN,264
8. Cancel- Nurture,NOT_TAKEN,246
2. Admin Cancel,NOT_TAKEN,187
5. Reschedule,RESCHEDULE,372
1. Follow Up,TAKEN,2339
6. Sale,TAKEN,175
7. Lost,TAKEN,140
