CUSTOM_ACTIVITY_OUTCOME,TRIAGE_ATTENDANCE_CLASS,TOTAL_ROWS
6. No Show,NOT_TAKEN,1871
1. Strategy Call Scheduled,TAKEN,1293
2. Unqualified,TAKEN,474
3. Follow Up < 10 Days,TAKEN,222
7. Reschedule,NOT_TAKEN,123
10. Not Interested,TAKEN,120
8. Cancel,NOT_TAKEN,106
5. Long Term Follow Up,TAKEN,48
4. Follow Up < 1 Month,TAKEN,46
9. Inaccurate Prospect,TAKEN,31
,MISSING_OUTCOME,6
