OBJECTION_CATEGORY,FLATTENED_ROWS,UNIQUE_CALLS
No Show,1893,1893
Money,1280,1280
Think About It,599,599
No Objections,582,582
Logistical,384,384
Partner,313,313
Time,274,274
Trust,207,207
Value,186,186
Fear,154,154
Wasn't Looking For What We Offered,129,129
Talking to Other Coaches,36,36
Hung Up,21,21
