CUSTOM_ACTIVITY,TOTAL_ROWS,CLOSER_ROWS,SETTER_ROWS,OFFER_ROWS,OUTCOME_ROWS
5) Strategy Call,4128,1638,1286,4121,4121
6) Strategy Call Follow Up,809,158,261,807,0
