CUSTOM_ACTIVITY,TOTAL_ROWS,OUTCOME_ROWS,CLOSER_ROWS,SETTER_ROWS,OFFER_ROWS
5) Strategy Call,4128,4121,1638,1286,4121
6) Strategy Call Follow Up,809,0,158,261,807
