OBJECTION,COUNT,PERCENT_OF_CALLS
Money,978,16.56
Think About It,405,6.86
No Objection,351,5.94
Logistical,225,3.81
Partner,203,3.44
Time,193,3.27
Trust,172,2.91
Value,127,2.15
Fear,97,1.64
Not Looking,89,1.51
Other Coaches,23,0.39
Hung Up,13,0.22
