CUSTOM_ACTIVITY,SETTER_ROWS,CLOSER_ROWS,OFFER_ROWS,CONTRACT_VALUE_ROWS,CASH_COLLECTED_ROWS
7) New Sale,230,270,0,230,230
5) Strategy Call,4125,4128,4121,1475,0
