CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME,TOTAL
5) Strategy Call,1. Follow Up,1843
5) Strategy Call,4. No Show,1143
5) Strategy Call,5. Reschedule,342
5) Strategy Call,3. Cancel- Not Interested,225
5) Strategy Call,8. Cancel- Nurture,222
5) Strategy Call,2. Admin Cancel,144
5) Strategy Call,6. Sale,106
5) Strategy Call,7. Lost,96
5) Strategy Call,,7
6) Strategy Call Follow Up,,809
