SC_YEAR_WEEK,STRATEGIES_BOOKED
2026-12,61
2026-13,122
2026-14,164
2026-15,196
2026-16,209
2026-17,208
2026-18,196
2026-19,208
2026-20,220
2026-21,157
2026-22,131
2026-23,135
2026-24,189
2026-25,154
2026-26,58
