CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME_NAME,CUSTOM_ACTIVITY_OUTCOME,STATUS_CHANGE,TOTAL_ROWS
1) Prospecting Activity,,,published,9989
1) Prospecting Activity,,,draft,57
2) Prospecting Follow Up,,,published,1380
2) Prospecting Follow Up,,,draft,6
