STRATEGY_CALL_OUTCOME,STRATEGY_ATTENDANCE_CLASS,TOTAL_ROWS
1. Follow Up,TAKEN,1843
4. No Show,NOT_TAKEN,1143
5. Reschedule,UNCLASSIFIED,342
3. Cancel- Not Interested,NOT_TAKEN,225
8. Cancel- Nurture,NOT_TAKEN,222
2. Admin Cancel,NOT_TAKEN,144
6. Sale,TAKEN,106
7. Lost,TAKEN,96
,UNCLASSIFIED,7
