ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,TRIAGE_CALL_OUTCOME,STRATEGY_CALL_OUTCOME,OFFER_PRESENTED,CONTRACT_VALUE,CASH_COLLECTED,SETTER_USER_ID,CLOSER_USER_ID,PROGRAM,OBJECTIONS_FACED
acti_2qwjOsFg0ZBPAthMzvjQvxqE6uhBd4Zr2jAmZzPe7id,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_3E85vFq3a06LlEzXT2N1kS,,,,20000,20000,user_T7WuGoDnkZ2v5PVzlKT4g60rcN82JTCvlU7ydK2yYGa,user_Kjvgs2c3jJuGJo7bMEzCfCZ69G8C4T767bX3alwVSH3,Gold,
acti_Gpl1hGz5kp2VGICzTy2bZf7hAMSLrgHixFYWzi5erbd,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_6n2drkxKiwj4uUvu53pMUe,,,,,,,,,
acti_OyCMeLjAG772OYJdsJTsMfqdnT6vVmwWawECRFPBsWS,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_UscmcE1YLVVWHZo9W4fjlpBmgk52TkCd0mJvQK6Zoyc,lead_GDYbw6Et0zD7GXn1anBEAM5NGJYhMKJtGZn97TlGz0e,actitype_38341SWOKRkRHHAqWEqSJu,1. Strategy Call Scheduled,,,,,user_T7WuGoDnkZ2v5PVzlKT4g60rcN82JTCvlU7ydK2yYGa,,,
acti_O0SUG7VGLCZI1ATeBNt50hN2MwQzv13UKqMahZyewV7,lead_uHC9UoywX5MMzCmmTFfqN6G57WXYPaUGya9ZvbjSTZe,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_f0MdxM02FwChRqguoxXxnDZPqVWjkdyX9PFvEgq4TPo,lead_w29FxHGDAUrJLaTWqhg7O4W5T5UWdy1BiSVparrcI2h,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_ZxM1h6we9mlwRVAnxaqaEiSlWT88ZQgwKfd8npPn3Ay,lead_w29FxHGDAUrJLaTWqhg7O4W5T5UWdy1BiSVparrcI2h,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_aBxszAaqGCMBf4gibAlVg19GdlPXYo6SdET3h09ItDL,lead_ELdx1HUxvNMQEbstEoYk6P5cCCN3oo2sw9s06VC31GF,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_XkizXmphr6XDFNFYnEVDs1SQJZqf19h2hJerEoXY8tW,lead_aNfmscvwVcvR9qy5O27EbIPb5bdGDHLNt4cxp6yjHbd,actitype_38341SWOKRkRHHAqWEqSJu,6. No Show,,,,,user_lTv72kshXP7JpPMAMfUAAmv64JLLZxFJg08rtcYiOXJ,,,
acti_JnSTVRROUEcQlNG67AQeQBeAARerNuw8wStWSL0R1HO,lead_JCp025Alrr0XQbafCudcAxfxDHmEYxGi6b05l7rdEBk,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_FYBgaHcTNZwSRSKd15SdK68uVnwDL3hHx3u5jK39ve1,lead_LtggdJ3YPWHkjQXiol9bP0mMGtuFTbExBe7uEXTm67v,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_tyJ9ozs5JLaB1PnuGcdkd6xh5pdDlsu0ovX4wiSZuSN,lead_LtggdJ3YPWHkjQXiol9bP0mMGtuFTbExBe7uEXTm67v,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_AgrwOo3EqlNHrSxPcqSzlZzbqsMseqOof6n8FrWJ3Nn,lead_bBhnf2V1aCcIFxyrT4G6DHjSx8hZ7nyLhFwoHSeKde6,actitype_38341SWOKRkRHHAqWEqSJu,6. No Show,,,,,user_myWLFsY6kfsuqKjDVYzbN4qquUkpAJBnQB7l6znEzL0,,,
acti_uP4yPkhpAPUaFw4rLM5IXM0BJZc9rtwGa3D8HiyBvoq,lead_5MHExtjjWGbFawCaT0G9H87DthDKarwPnEbQd0PQy72,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_Hg2lAuSpD69keHizjYcNGuONUESjo28hzl51yRyl3VH,lead_QKrUlkrclzgIhQP7UEzqDREUJRj77iQjjib2UAEkO3G,actitype_2VcSfZQX6FeIL8kkxy48C2,,2. Admin Cancel,No,,,user_nDycH3d5wn1pmMAhkC8dq4O7E2zExikgamMxXh8FztV,user_YXDOZfNf87Gou78di2x4aJRNOmFKRnXPuDLl5bFfHXl,,"[""No Objections""]"
