STATUS_CHANGE,TOTAL_RECORDS
sent,380321
completed,316407
no-answer,107012
inbox,76020
cancel,55388
published,33438
busy,32620
,25111
error,21620
failed,10807
draft,2027
declined-by-org,1192
outbox,751
declined-by-lead,328
timeout,269
scheduled,138
canceled,121
in-progress,37
created,13
upcoming,8
