CUSTOM_ACTIVITY,STATUS_CHANGE,CUSTOM_ACTIVITY_OUTCOME_NAME,CUSTOM_ACTIVITY_OUTCOME,TOTAL
3) Triage Call,published,,,3455
3) Triage Call,draft,,,8
5) Strategy Call,published,,,4072
5) Strategy Call,draft,,,56
