PROSPECT_YEAR_WEEK,TOTAL_OUTBOUND_ACTIVITIES,UNIQUE_LEADS_TOUCHED,OUTBOUND_SETS
2026-12,177,166,61
2026-13,372,358,122
2026-14,667,649,164
2026-15,791,752,196
2026-16,726,711,209
2026-17,730,704,208
2026-18,705,676,196
2026-19,796,753,208
2026-20,880,838,220
2026-21,1087,1048,157
2026-22,881,857,131
2026-23,948,906,135
2026-24,1030,976,189
2026-25,1041,999,154
2026-26,601,580,58
