LEAD_ID,ACTIVITY_ID,ACTIVITY_AT,WRAPPED_ACTIVITIES,INSERT_DATE,UPDATE_DATE,MD5_HASH
lead_jltkOdkB9YZkUku50zYlBd4r590MupNv30OnRbOcqfI,acti_qdSfyk5WvsOxs81tHUmV8gRNgpFpkJjDzVKyPpKMANI,2026-04-07 19:55:39.527,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_eb1efaee45a59705808492017b599a88"",
  ""CREATED_BY_USER"": ""user_RoWq89U2oZOlTTfJScR9pTREnX3AAeNdKnw4YOOcYwG"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2bBGxk2qNSjDtfe4wTCDzr"",
  ""DATE_CREATED"": ""2026-04-07 19:55:39.527"",
  ""DATE_UPDATED"": ""2026-04-07 19:55:39.527"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_eb1efaee45a59705808492017b599a88"",
  ""UPDATED_BY_USER"": ""user_RoWq89U2oZOlTTfJScR9pTREnX3AAeNdKnw4YOOcYwG""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,f8fa9a63a9696e70ae66a8a656bd2ce6
lead_jmobiY3uukwP46YHpW2fI7d25FM7r6sCa7pYBZc9Zjv,acti_C8megnzHoXzsibxd4wiobtQEVsRd4wRJmFw9zVb2Y0y,2026-06-30 00:04:10.446,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_880b1abc8ede92abe0654ec404f30dab"",
  ""CREATED_BY_USER"": ""user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-30 00:04:10.446"",
  ""DATE_UPDATED"": ""2026-06-30 00:04:15.036"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_880b1abc8ede92abe0654ec404f30dab"",
  ""UPDATED_BY_USER"": ""user_h1TT3faXKBa2T2v1iqtYhGiJbyaWPmZBsjxIuRh90zH""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,3acadd216d3ecf002c9b9a6d77f30513
lead_jmvppkHDqi4b21RLzqO7CA4QZ2OiaAbwAsUoX5fqxSQ,acti_321ND762lmLhlQtlgL1z9W0kLwmOluRNakM0ym69csq,2026-04-16 16:58:32.429,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_3005b347129d801dc8c687e3bbcef2bb"",
  ""CREATED_BY_USER"": ""user_bIvwEVqazwdp4VFjtJRdOOthSsvx4ylfkNLqmbMWkma"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_6IrDujYE2WKg9QCFJdpXJk"",
  ""DATE_CREATED"": ""2026-04-16 16:58:32.429"",
  ""DATE_UPDATED"": ""2026-04-16 17:00:46.554"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_3005b347129d801dc8c687e3bbcef2bb"",
  ""UPDATED_BY_USER"": ""user_bIvwEVqazwdp4VFjtJRdOOthSsvx4ylfkNLqmbMWkma""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,b65112514986f351e0c56e8a2b9fa376
lead_jmyOUVf09oPlqGexBOXRCmYBdhSw2d7aNkQ7kXCh2Mb,acti_WlU6BKGjET0HOl5hsXvWsU5MquJgGf6GixrQLqjGSMt,2026-05-29 15:53:20.802,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_8824fec483469f25df69082fb72664de"",
  ""CREATED_BY_USER"": ""user_BD3inh6E77JXfLchKNi46mxfkzubV7KFfvlatgZoaHw"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-05-29 15:53:20.802"",
  ""DATE_UPDATED"": ""2026-05-29 15:56:51.572"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_8824fec483469f25df69082fb72664de"",
  ""UPDATED_BY_USER"": ""user_BD3inh6E77JXfLchKNi46mxfkzubV7KFfvlatgZoaHw""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,051028ec17340fb4dbc1c41beba96101
lead_jmyOUVf09oPlqGexBOXRCmYBdhSw2d7aNkQ7kXCh2Mb,acti_eNoxVrhsbuuWVkYvVS8eQ34sI8ifaAhFQ5rCG9wuO3z,2026-06-10 01:43:33.113,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_a66c82b91bd18a7d41ba5f59dfc77037"",
  ""CREATED_BY_USER"": ""user_HHnRmv8FSVD0wRVgH0ZRZim8nLi4GstsQGJMsrTpRHR"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-06-10 01:43:33.113"",
  ""DATE_UPDATED"": ""2026-06-10 01:44:19.746"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_a66c82b91bd18a7d41ba5f59dfc77037"",
  ""UPDATED_BY_USER"": ""user_HHnRmv8FSVD0wRVgH0ZRZim8nLi4GstsQGJMsrTpRHR""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,ebe4e850ef8f24dd7b2f16669820a126
lead_jnYz0Bvs4LBOrmaTibRDACSObgR7GF913l8Fj5okgKn,acti_iEwlqHO69xX2rzDl0cest6CPSBwhVgq9djWCN7Ofw4v,2026-05-20 18:38:52.958,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""CREATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-05-20 18:38:52.958"",
  ""DATE_UPDATED"": ""2026-05-20 18:38:52.958"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""UPDATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,cbe889b8d5252fcf6a36ae40c8f56333
lead_jnYz0Bvs4LBOrmaTibRDACSObgR7GF913l8Fj5okgKn,acti_vBTOATkxKTM5VxKJhxzvZBZESIWadOiSqzxVfozres0,2026-05-24 18:22:12.289,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""CREATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_2VcSfZQX6FeIL8kkxy48C2"",
  ""DATE_CREATED"": ""2026-05-24 18:22:12.289"",
  ""DATE_UPDATED"": ""2026-05-24 18:22:12.289"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_da2f26456f1c6e7b80821b736160c73a"",
  ""UPDATED_BY_USER"": ""user_LvLQHAG6feV9LODrhFZ2MrNOEgMxib4BbYst8isQHSY""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,e849ce89263cf87ef4ac7c25da6da127
lead_jnYz0Bvs4LBOrmaTibRDACSObgR7GF913l8Fj5okgKn,acti_vEqZ7H4xZhh9JZFLJBMwUUXgYK6JLG82qCL6fgHbIkP,2026-05-14 13:31:53.248,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_3dc981dd543339fc49d510bf6f795ea9"",
  ""CREATED_BY_USER"": ""user_eB6Y3KqgZ0MR4J6ql9IjqavTM8QDUyFY6zrrH4leArT"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_38341SWOKRkRHHAqWEqSJu"",
  ""DATE_CREATED"": ""2026-05-14 13:31:53.248"",
  ""DATE_UPDATED"": ""2026-05-14 13:46:58.901"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_3dc981dd543339fc49d510bf6f795ea9"",
  ""UPDATED_BY_USER"": ""user_eB6Y3KqgZ0MR4J6ql9IjqavTM8QDUyFY6zrrH4leArT""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,dba88b297556606b6b7ed8a109714427
lead_jneblm2d8WC63TmeP8XMgg0SOUnEWugHVN6vKDvq1Y3,acti_9ofkQJvPRfqsLkt7XSA6cvjW4G3CFg4hrXzD8s051PH,2026-06-17 12:26:23.527,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_15b5943e59ca209dad261abaa4017958"",
  ""CREATED_BY_USER"": ""user_dPKOz1w9oIu3SRXjsOkMFDOHrXz96nyD6CvPCLdId1c"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_38341SWOKRkRHHAqWEqSJu"",
  ""DATE_CREATED"": ""2026-06-17 12:26:23.527"",
  ""DATE_UPDATED"": ""2026-06-17 12:26:37.490"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_15b5943e59ca209dad261abaa4017958"",
  ""UPDATED_BY_USER"": ""user_dPKOz1w9oIu3SRXjsOkMFDOHrXz96nyD6CvPCLdId1c""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,11ec5ad2495cdef60f76ffb4e5190f71
lead_jnnLRtyEZ0pPYsfVnWCNuDuRiq5iDTnMGwCuqjdoqgz,acti_qUOooErg6eG5IAsO5HRTWz8kA8rkByljUO9Ey5R9tnq,2026-06-29 19:13:14.779,"{
  ""ATTENDEES"": null,
  ""CREATED_BY_NAME"": ""user_57cb0290870f6004c5a17979f8d69eff"",
  ""CREATED_BY_USER"": ""user_qSoeXYX0Ug8UcQSDkH9B4WHudbJhihQ9Unc564kCXGB"",
  ""CUSTOM_ACTIVITY_ID"": ""actitype_4tEv1xumZEk9vYYs7WxYy7"",
  ""DATE_CREATED"": ""2026-06-29 19:13:14.779"",
  ""DATE_UPDATED"": ""2026-06-29 19:13:29.345"",
  ""MEETING_END_AT"": null,
  ""MEETING_STARTS_AT"": null,
  ""MEETING_STATUS"": null,
  ""STATUS_CHANGE"": ""published"",
  ""TEXT"": null,
  ""TYPE"": ""CustomActivity"",
  ""UPDATED_BY_NAME"": ""user_57cb0290870f6004c5a17979f8d69eff"",
  ""UPDATED_BY_USER"": ""user_qSoeXYX0Ug8UcQSDkH9B4WHudbJhihQ9Unc564kCXGB""
}",2026-07-28 11:28:51.124,2026-07-28 11:28:51.124,8a0e5982b3a46871c9a4a31abac2b3b3
