ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,PROSPECTING_CALL_OUTCOME,ACTIVITY_AT,DATE_UPDATED
acti_sKlluqnJnBmm2Cn4ctYonoOoj4mI3Z2zWrKGysHRRC6,lead_7uV08HMuS7H4rhZkyVlruh0SD1Ts3Iz9dYo3m9W8V3M,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-23 00:56:33.862,2026-05-23 00:56:43.658
acti_xORLFaa4K9OJ9syUiWOvK1EtPmGM2HFbu3GFGMUkb06,lead_7uhnclLcxsLqL22emxtjacWezTomKaHrQfNOpTHFvYk,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-03-31 20:18:23.647,2026-03-31 20:19:00.852
acti_goCxdXhX2zfSLy3cllZtjIsRFAa8dwbiySI0EvpwrbN,lead_7uzCHQrSJbUw6TdiQlZQNbQekI2YMEQdW0qqH9M1C9w,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-18 14:58:46.718,2026-05-18 14:58:52.552
acti_El0nKF8S6diTENH8NBc6Xo4ITjeLymmvrZBnM6cbP2b,lead_7vN7kUbT6PZ2gS1G4esKufbuuv1YBU11Z2CHROIxmjf,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-05-21 18:42:25.576,2026-05-21 18:42:40.225
acti_B9rojnLzDgaGfRvm5LkJD914sxvBlBTZspTgNPyRWFv,lead_7vbargD5eLODHJ4xUbs8tDZoO78jeL5Ux2E5uobyfbl,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-05-18 16:43:21.239,2026-05-18 16:43:37.933
acti_ozuY2dfCoWNBHOmVg9q1baw2sfr0Ti5ZnLrQnH2RofX,lead_7vsuyy51no6YqMaMxn3tpkjxPmWBzlbudoKOjy4cmq9,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-04-10 01:51:13.953,2026-04-10 01:52:18.828
acti_1v9sFKN1B4kj9TZZF9d90AfOel9vaTKPCr9iO1DZIwv,lead_7vw7zRkmXYei2yCwITj2Vhw8x4V3YDEUzIO1AzM1fSa,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-03-27 17:11:48.341,2026-03-27 17:12:10.681
acti_WlUqOPZ460ZQOE0nFMttMOccnaCtcImUdnUjoZMsri2,lead_7w6JrPtsUrJ5zZIWH77tHpB24GXgWIGq77cYNDqwUMP,actitype_4tEv1xumZEk9vYYs7WxYy7,3. Follow Up,2026-04-01 20:00:57.833,2026-04-01 20:01:13.716
acti_MU6HPsTZwM7veoXRcF9six8rUw7fRKtrhKOYvJKgvs0,lead_7wb5nce6rT9m9CazRGNbYAGSR9OlWYLxliZVZ0bnvT0,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-04-07 13:28:21.620,2026-04-07 13:28:42.972
acti_7YneSTqHHEht6Ka43PdLpmGVG9X4vLrZfjtrWz41e8I,lead_7ws49iV0VEQuLfXXdlxskeg8kVmvwwAXex7hymtv81E,actitype_4tEv1xumZEk9vYYs7WxYy7,2. Strategy Call Scheduled,2026-05-18 18:13:28.989,2026-05-18 18:14:21.981
acti_a7JGhO4cG6XuMULPieWodGXD4fUjxV28hDtvccY4Vdf,lead_7ws49iV0VEQuLfXXdlxskeg8kVmvwwAXex7hymtv81E,actitype_6ga7msjJ7kZcH2rGtYETwe,2. Strategy Call Scheduled,2026-05-09 18:43:06.846,2026-05-09 18:43:26.083
acti_dnPNj19lSPgwlWUE08mOHAbA9HR2Ot5ud8RGKp7XjDj,lead_7x7RJOctS8fOOYL67JepGv0q8ef9DfurY2tdIIpCvu9,actitype_4tEv1xumZEk9vYYs7WxYy7,6. Not Interested,2026-06-26 14:41:37.561,2026-06-26 14:41:46.943
