TABLE_NAME,TOTAL_ROWS,NULL_JSON_ROWS,OBJECT_ROWS
CLOSE_CRM_USERS_RAW,63428,0,63428
CUSTOM_ACTIVITIES_RAW,47,0,47
LEADS_RAW,1050343,0,1050343
LEAD_ACTIVITIES_RAW,1004944,0,1004944
