TABLE_NAME,JSON_TYPE,ROW_COUNT
CLOSE_CRM_USERS_RAW,OBJECT,51233
CUSTOM_ACTIVITIES_RAW,OBJECT,47
LEADS_RAW,OBJECT,1050343
LEAD_ACTIVITIES_RAW,OBJECT,1004944
