TABLE_NAME,COUNT_BEFORE_REPAIR,COUNT_AFTER_REPAIR,NET_DIFFERENCE
CLOSE_CRM_USERS_RAW,63428,51233,-12195
CUSTOM_ACTIVITIES_RAW,47,47,0
LEADS_RAW,1050343,1050343,0
LEAD_ACTIVITIES_RAW,1004944,1004944,0
