SC_YEAR_WEEK,STRATEGIES_BOOKED
2026-12,35
2026-13,80
2026-14,81
2026-15,95
2026-16,74
2026-17,58
2026-18,62
2026-19,65
2026-20,54
2026-21,87
2026-22,77
2026-23,100
2026-24,97
2026-25,114
2026-26,46
