CUSTOM_ACTIVITY,STRATEGY_CALL_OUTCOME,TOTAL
5) Strategy Call,1. Follow Up,2339
5) Strategy Call,4. No Show,1314
5) Strategy Call,5. Reschedule,372
5) Strategy Call,3. Cancel- Not Interested,264
5) Strategy Call,8. Cancel- Nurture,246
5) Strategy Call,2. Admin Cancel,187
5) Strategy Call,6. Sale,175
5) Strategy Call,7. Lost,140
5) Strategy Call,,7
6) Strategy Call Follow Up,,969
