CUSTOM_ACTIVITY,TOTAL_ROWS,CLOSER_ROWS,SETTER_ROWS,OFFER_ROWS,OUTCOME_ROWS
5) Strategy Call,5044,2160,1671,5037,5037
6) Strategy Call Follow Up,969,218,324,967,0
